Edad;Poblacion total;Varones;Mujeres;Distrito
0;1.503;747;756;Berisso
1;1.418;668;750;Berisso
2;1.377;689;688;Berisso
3;1.400;704;696;Berisso
4;1.414;730;684;Berisso
5;1.517;817;700;Berisso
6;1.564;802;762;Berisso
7;1.388;689;699;Berisso
8;1.440;751;689;Berisso
9;1.487;762;725;Berisso
10;1.382;706;676;Berisso
11;1.449;752;697;Berisso
12;1.461;726;735;Berisso
13;1.407;715;692;Berisso
14;1.584;831;753;Berisso
15;1.541;780;761;Berisso
16;1.439;742;697;Berisso
17;1.432;700;732;Berisso
18;1.502;748;754;Berisso
19;1.527;777;750;Berisso
20;1.514;763;751;Berisso
21;1.408;745;663;Berisso
22;1.402;676;726;Berisso
23;1.494;739;755;Berisso
24;1.426;705;721;Berisso
25;1.387;667;720;Berisso
26;1.309;635;674;Berisso
27;1.347;674;673;Berisso
28;1.432;742;690;Berisso
29;1.410;682;728;Berisso
30;1.478;725;753;Berisso
31;1.392;680;712;Berisso
32;1.369;682;687;Berisso
33;1.251;612;639;Berisso
34;1.235;602;633;Berisso
35;1.232;619;613;Berisso
36;1.202;611;591;Berisso
37;1.229;626;603;Berisso
38;1.213;589;624;Berisso
39;1.137;552;585;Berisso
40;1.196;587;609;Berisso
41;1.138;550;588;Berisso
42;1.120;526;594;Berisso
43;964;481;483;Berisso
44;1.041;498;543;Berisso
45;1.018;488;530;Berisso
46;989;503;486;Berisso
47;1.026;506;520;Berisso
48;946;467;479;Berisso
49;944;425;519;Berisso
50;1.000;495;505;Berisso
51;954;473;481;Berisso
52;852;400;452;Berisso
53;914;443;471;Berisso
54;901;459;442;Berisso
55;864;431;433;Berisso
56;819;376;443;Berisso
57;837;413;424;Berisso
58;801;390;411;Berisso
59;852;403;449;Berisso
60;820;393;427;Berisso
61;771;341;430;Berisso
62;716;358;358;Berisso
63;712;357;355;Berisso
64;668;332;336;Berisso
65;677;284;393;Berisso
66;611;265;346;Berisso
67;602;265;337;Berisso
68;556;245;311;Berisso
69;527;230;297;Berisso
70;565;229;336;Berisso
71;480;212;268;Berisso
72;460;185;275;Berisso
73;458;193;265;Berisso
74;451;175;276;Berisso
75;462;185;277;Berisso
76;396;172;224;Berisso
77;371;139;232;Berisso
78;360;126;234;Berisso
79;343;146;197;Berisso
80;297;112;185;Berisso
81;271;102;169;Berisso
82;252;87;165;Berisso
83;255;92;163;Berisso
84;195;56;139;Berisso
85;188;49;139;Berisso
86;168;48;120;Berisso
87;115;36;79;Berisso
88;92;23;69;Berisso
89;85;23;62;Berisso
90;73;23;50;Berisso
91;50;20;30;Berisso
92;37;9;28;Berisso
93;28;9;19;Berisso
94;24;7;17;Berisso
95;11;0;11;Berisso
96;15;2;13;Berisso
97;13;4;9;Berisso
98;5;1;4;Berisso
99;4;0;4;Berisso
100 y má;11;1;10;Berisso
0;489;247;242;Brandsen
1;496;257;239;Brandsen
2;493;259;234;Brandsen
3;481;229;252;Brandsen
4;530;268;262;Brandsen
5;534;252;282;Brandsen
6;538;290;248;Brandsen
7;506;270;236;Brandsen
8;495;257;238;Brandsen
9;484;248;236;Brandsen
10;469;251;218;Brandsen
11;451;244;207;Brandsen
12;464;239;225;Brandsen
13;429;218;211;Brandsen
14;459;227;232;Brandsen
15;426;228;198;Brandsen
16;453;232;221;Brandsen
17;440;226;214;Brandsen
18;467;224;243;Brandsen
19;457;256;201;Brandsen
20;445;217;228;Brandsen
21;409;217;192;Brandsen
22;413;192;221;Brandsen
23;388;190;198;Brandsen
24;376;193;183;Brandsen
25;357;177;180;Brandsen
26;422;208;214;Brandsen
27;407;202;205;Brandsen
28;406;189;217;Brandsen
29;389;207;182;Brandsen
30;407;215;192;Brandsen
31;429;208;221;Brandsen
32;368;178;190;Brandsen
33;386;194;192;Brandsen
34;373;193;180;Brandsen
35;412;200;212;Brandsen
36;331;167;164;Brandsen
37;413;185;228;Brandsen
38;350;186;164;Brandsen
39;317;153;164;Brandsen
40;343;181;162;Brandsen
41;338;179;159;Brandsen
42;295;148;147;Brandsen
43;285;137;148;Brandsen
44;273;143;130;Brandsen
45;259;131;128;Brandsen
46;275;141;134;Brandsen
47;278;133;145;Brandsen
48;276;135;141;Brandsen
49;250;125;125;Brandsen
50;291;134;157;Brandsen
51;235;110;125;Brandsen
52;233;111;122;Brandsen
53;264;119;145;Brandsen
54;278;139;139;Brandsen
55;233;130;103;Brandsen
56;251;120;131;Brandsen
57;209;98;111;Brandsen
58;236;114;122;Brandsen
59;217;100;117;Brandsen
60;241;108;133;Brandsen
61;210;101;109;Brandsen
62;208;102;106;Brandsen
63;194;106;88;Brandsen
64;194;90;104;Brandsen
65;218;102;116;Brandsen
66;175;81;94;Brandsen
67;166;105;61;Brandsen
68;161;77;84;Brandsen
69;147;67;80;Brandsen
70;158;70;88;Brandsen
71;130;69;61;Brandsen
72;107;48;59;Brandsen
73;122;61;61;Brandsen
74;127;62;65;Brandsen
75;103;38;65;Brandsen
76;95;35;60;Brandsen
77;92;43;49;Brandsen
78;110;46;64;Brandsen
79;110;35;75;Brandsen
80;81;27;54;Brandsen
81;63;30;33;Brandsen
82;75;28;47;Brandsen
83;83;29;54;Brandsen
84;44;10;34;Brandsen
85;29;4;25;Brandsen
86;45;13;32;Brandsen
87;49;16;33;Brandsen
88;41;14;27;Brandsen
89;26;5;21;Brandsen
90;19;6;13;Brandsen
91;15;4;11;Brandsen
92;17;5;12;Brandsen
93;13;0;13;Brandsen
94;8;3;5;Brandsen
95;1;1;0;Brandsen
96;6;2;4;Brandsen
97;3;0;3;Brandsen
98;0;0;0;Brandsen
99;3;0;3;Brandsen
100 y má;0;0;0;Brandsen
0;1.050;505;545;Ensenada
1;1.064;571;493;Ensenada
2;915;463;452;Ensenada
3;991;520;471;Ensenada
4;984;532;452;Ensenada
5;964;479;485;Ensenada
6;1.015;544;471;Ensenada
7;1.011;520;491;Ensenada
8;889;434;455;Ensenada
9;983;506;477;Ensenada
10;1.023;499;524;Ensenada
11;929;470;459;Ensenada
12;898;450;448;Ensenada
13;902;480;422;Ensenada
14;992;500;492;Ensenada
15;984;480;504;Ensenada
16;946;500;446;Ensenada
17;866;444;422;Ensenada
18;1.002;530;472;Ensenada
19;942;493;449;Ensenada
20;1.026;514;512;Ensenada
21;918;455;463;Ensenada
22;898;449;449;Ensenada
23;893;439;454;Ensenada
24;900;445;455;Ensenada
25;824;388;436;Ensenada
26;839;404;435;Ensenada
27;900;432;468;Ensenada
28;934;463;471;Ensenada
29;882;418;464;Ensenada
30;975;496;479;Ensenada
31;868;456;412;Ensenada
32;855;402;453;Ensenada
33;876;439;437;Ensenada
34;781;420;361;Ensenada
35;774;389;385;Ensenada
36;711;356;355;Ensenada
37;700;344;356;Ensenada
38;730;356;374;Ensenada
39;700;350;350;Ensenada
40;689;355;334;Ensenada
41;648;321;327;Ensenada
42;627;260;367;Ensenada
43;600;304;296;Ensenada
44;587;277;310;Ensenada
45;614;313;301;Ensenada
46;630;312;318;Ensenada
47;626;303;323;Ensenada
48;639;287;352;Ensenada
49;621;303;318;Ensenada
50;649;341;308;Ensenada
51;631;314;317;Ensenada
52;604;279;325;Ensenada
53;604;297;307;Ensenada
54;637;294;343;Ensenada
55;592;296;296;Ensenada
56;571;275;296;Ensenada
57;528;265;263;Ensenada
58;535;264;271;Ensenada
59;499;247;252;Ensenada
60;563;274;289;Ensenada
61;480;243;237;Ensenada
62;447;222;225;Ensenada
63;394;202;192;Ensenada
64;427;215;212;Ensenada
65;442;205;237;Ensenada
66;410;182;228;Ensenada
67;362;171;191;Ensenada
68;333;155;178;Ensenada
69;306;141;165;Ensenada
70;345;138;207;Ensenada
71;308;137;171;Ensenada
72;271;102;169;Ensenada
73;285;126;159;Ensenada
74;285;124;161;Ensenada
75;274;122;152;Ensenada
76;248;94;154;Ensenada
77;216;95;121;Ensenada
78;235;83;152;Ensenada
79;225;83;142;Ensenada
80;218;78;140;Ensenada
81;158;57;101;Ensenada
82;190;67;123;Ensenada
83;136;36;100;Ensenada
84;125;43;82;Ensenada
85;102;19;83;Ensenada
86;97;36;61;Ensenada
87;77;22;55;Ensenada
88;70;15;55;Ensenada
89;60;19;41;Ensenada
90;49;11;38;Ensenada
91;38;12;26;Ensenada
92;25;6;19;Ensenada
93;23;7;16;Ensenada
94;18;3;15;Ensenada
95;5;1;4;Ensenada
96;4;0;4;Ensenada
97;5;0;5;Ensenada
98;3;1;2;Ensenada
99;1;0;1;Ensenada
100 y má;4;1;3;Ensenada
0;10.572;5.427;5.145;La Plata
1;9.687;4.959;4.728;La Plata
2;9.859;4.987;4.872;La Plata
3;9.500;4.850;4.650;La Plata
4;9.836;4.970;4.866;La Plata
5;9.801;4.977;4.824;La Plata
6;9.847;5.000;4.847;La Plata
7;9.806;5.027;4.779;La Plata
8;9.419;4.789;4.630;La Plata
9;9.530;4.855;4.675;La Plata
10;9.689;4.926;4.763;La Plata
11;9.149;4.674;4.475;La Plata
12;9.054;4.669;4.385;La Plata
13;9.103;4.555;4.548;La Plata
14;9.999;5.106;4.893;La Plata
15;9.923;4.964;4.959;La Plata
16;9.358;4.727;4.631;La Plata
17;9.506;4.889;4.617;La Plata
18;10.987;5.431;5.556;La Plata
19;12.047;5.895;6.152;La Plata
20;12.606;6.241;6.365;La Plata
21;12.285;6.228;6.057;La Plata
22;12.168;6.046;6.122;La Plata
23;12.362;6.163;6.199;La Plata
24;12.012;5.952;6.060;La Plata
25;11.668;5.774;5.894;La Plata
26;11.022;5.553;5.469;La Plata
27;10.805;5.421;5.384;La Plata
28;11.386;5.683;5.703;La Plata
29;11.017;5.473;5.544;La Plata
30;11.623;5.781;5.842;La Plata
31;10.987;5.397;5.590;La Plata
32;10.554;5.128;5.426;La Plata
33;10.362;5.083;5.279;La Plata
34;9.939;4.922;5.017;La Plata
35;10.086;4.935;5.151;La Plata
36;9.194;4.520;4.674;La Plata
37;9.246;4.606;4.640;La Plata
38;9.109;4.403;4.706;La Plata
39;8.977;4.423;4.554;La Plata
40;8.742;4.320;4.422;La Plata
41;7.980;3.883;4.097;La Plata
